,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tournament:,Sony Open in Hawaii,,,"Last updated: 1/19/2026, 9:29:47 AM",,,,,,,,,,,,,,,,,,,,,,,
,Course:,Waialae Country Club,,,Found 120 players from API,,,,,,,,,,,,,,,,,,,,,,,
,Data Date:,2026-01-19 03:15:48 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Analysis,DG ID,Player Name,Model Rank,Finish Position,Score,SG Total,SG Total - Model,Driving Distance,Driving Distance - Model,Driving Accuracy,Driving Accuracy - Model,SG T2G,SG T2G - Model,SG Approach,SG Approach - Model,SG Around Green,SG Around Green - Model,SG OTT,SG OTT - Model,SG Putting,SG Putting - Model,Greens in Regulation,Greens in Regulation - Model,Fairway Proximity,Fairway Proximity - Model,Rough Proximity,Rough Proximity - Model,SG BS
↓ Below average performer,653,"Singh, Vijay",37,T40,-5,0.483,0.000,282.90,0.00,55.36%,0.00%,0.135,0.000,0.115,0.000,0.698,0.000,-0.678,0.000,0.348,0.000,69.44%,0.00%,31.76,0.00,0.00,0.00,0.000
↓ Approach | 📉 Rough Proximity: trend continuing (1.194) | 📉 Fairway Proximity: trend continuing (1.019) | 📈 SG Total: trend continuing (0.390),18474,"Smalley, Alex",63,T40,-5,0.483,2.770,295.28,264.16,58.93%,55.33%,0.105,-0.166,-0.028,-0.120,0.253,-0.065,-0.125,0.018,0.380,-0.337,66.67%,66.11%,31.36,3.67,0.00,4.46,0.000
↑ Finished better than predicted | ↓ Driving | 📉 Driving Distance: trend reversing (24.261) | 📉 Fairway Proximity: trend continuing (0.667) | 📉 Rough Proximity: trend continuing (0.254),13997,"Svensson, Adam",72,T40,-5,0.483,1.361,289.58,124.07,66.07%,65.08%,1.233,0.017,0.323,0.011,0.550,0.036,0.368,-0.029,-0.750,-0.262,63.89%,70.65%,28.35,1.11,0.00,0.58,0.000
,18554,"Rai, Aaron",54,T50,-4,0.233,-2.439,286.00,289.90,60.71%,87.13%,0.120,-0.915,0.758,-0.157,-0.115,0.052,-0.523,-0.809,0.113,-1.524,75.00%,66.95%,30.05,29.13,0.00,51.46,0.000
↑ Finished better than predicted | ↑ Driving | 📈 Driving Distance: trend continuing (21.522) | 📉 SG Total: trend reversing (0.445) | 📈 Greens in Regulation: trend continuing (0.058) | ↓ Below average performer,28016,"Gonzalez, Emilio",90,T50,-4,0.233,-2.295,290.23,242.77,60.71%,66.28%,-0.845,0.000,-0.910,0.000,0.633,0.000,-0.568,0.000,1.078,0.000,66.67%,67.04%,38.17,0.00,0.00,0.00,0.000
↑ Finished better than predicted | ↓ Approach | 📉 Rough Proximity: trend continuing (2.270) | 📉 Fairway Proximity: trend continuing (1.286) | 📉 SG Total: trend reversing (0.314),31343,"Ford, David",116,T50,-4,0.233,-0.873,297.25,288.75,71.43%,71.81%,0.835,0.103,0.285,0.032,-0.198,-0.018,0.750,0.089,-0.608,-0.160,77.78%,65.69%,31.14,2.46,0.00,3.83,0.000
↓ Driving | 📉 Driving Distance: trend reversing (22.576) | 📉 Rough Proximity: trend continuing (0.431) | 📉 Fairway Proximity: trend continuing (0.279),17639,"Blair, Zac",50,T50,-4,0.233,1.111,282.58,111.15,62.50%,67.90%,0.710,0.019,1.238,0.016,0.233,-0.006,-0.760,0.008,-0.483,0.081,72.22%,62.19%,31.24,0.54,0.00,0.69,0.000
↓ Approach | 📉 Rough Proximity: trend continuing (0.955) | 📉 Fairway Proximity: trend continuing (0.669),23504,"Hoey, Rico",69,T50,-4,0.233,1.306,295.58,271.81,57.14%,55.89%,0.060,0.067,0.028,0.052,-0.345,-0.017,0.375,0.032,0.173,-0.007,68.06%,66.12%,29.00,1.00,0.00,1.46,0.000
↑ Finished better than predicted | ↓ Approach | 📉 Fairway Proximity: trend continuing (0.904) | 📉 Rough Proximity: trend continuing (0.898) | 📉 SG Total: trend continuing (0.193),19960,"Pavon, Matthieu",113,T55,-3,-0.017,-0.867,296.41,281.85,53.57%,63.64%,-1.050,-0.007,-0.663,-0.007,0.153,-0.046,-0.538,0.046,1.033,-0.101,58.33%,73.97%,35.41,1.30,0.00,1.26,0.000
↓ Finished worse than predicted | ↓ Overall | 📉 SG Total: trend continuing (0.266) | ↓ Below average performer,16757,"Dou, Zecheng",22,T55,-3,-0.018,1.048,296.33,0.00,50.00%,0.00%,0.093,0.000,-0.038,0.000,0.413,0.000,-0.290,0.000,-0.108,0.000,66.67%,0.00%,31.72,0.00,0.00,0.00,0.000
,11049,"Simpson, Webb",31,T55,-3,-0.018,-2.077,293.29,293.59,57.14%,53.20%,-0.115,-1.435,0.360,-2.421,-0.058,1.112,-0.418,-0.126,0.095,-0.425,68.06%,60.60%,28.58,31.23,0.00,47.95,0.000
↓ Driving | 📉 Driving Distance: trend reversing (23.864) | 📉 Rough Proximity: trend continuing (0.665) | 📉 Fairway Proximity: trend continuing (0.268),24550,"Ghim, Doug",32,T55,-3,-0.018,1.196,297.30,118.68,60.71%,62.28%,0.100,-0.007,-1.105,0.002,0.668,-0.017,0.538,0.007,-0.120,0.086,65.28%,65.03%,30.68,0.54,0.00,0.99,0.000
↑ Finished better than predicted | ↓ Below average performer,15310,"Li, Haotong",104,T55,-3,-0.018,0.000,294.70,0.00,66.07%,0.00%,1.065,0.000,0.538,0.000,0.040,0.000,0.490,0.000,-1.083,0.000,75.00%,0.00%,29.59,0.00,0.00,0.00,0.000
↑ Approach | 📈 Fairway Proximity: trend reversing (2.868) | 📉 Rough Proximity: trend continuing (0.157) | 📉 SG Approach: trend reversing (0.222),28635,"McCarty, Matt",35,T55,-3,-0.018,2.105,293.40,307.44,67.86%,79.97%,0.170,0.046,0.305,-0.589,-0.703,0.056,0.570,0.578,-0.188,1.592,77.78%,72.77%,28.80,30.13,0.00,25.36,0.000
,6986,"Johnson, Zach",52,T61,-2,-0.268,1.000,286.93,276.40,64.29%,57.69%,-0.723,-0.527,-0.375,0.633,0.143,-0.430,-0.493,-0.730,0.453,1.251,62.50%,75.73%,38.11,27.31,0.00,30.01,0.000
↓ Approach | 📉 Rough Proximity: trend continuing (3.193) | 📉 Fairway Proximity: trend continuing (2.019) | 📉 SG Approach: trend reversing (0.054),28270,"Dunlap, Nick",76,T61,-2,-0.268,1.515,284.09,302.11,48.21%,88.28%,-0.180,-0.040,1.953,0.139,-0.330,0.000,-1.803,-0.179,-0.090,-0.110,72.22%,85.71%,27.13,4.61,0.00,8.03,0.000
↓ Finished worse than predicted,8825,"Harman, Brian",30,T61,-2,-0.268,-0.726,294.88,295.81,55.36%,75.46%,-0.465,-1.006,-0.383,-0.719,-0.010,0.270,-0.073,-0.557,0.198,0.071,72.22%,59.83%,31.62,33.91,0.00,60.54,0.000
